,REASON,VALUE,DEROG,MORTDUE,YOJ,LOAN,CLAGE,NINQ,DEBTINC,CLNO,JOB,DELINQ,ks,ks_validation1,c
0,0.000869691609721383,3.7220770629838176e-14,0.042142013934518725,0.013376399614621464,0.008089634062895956,0.02878071400878735,0.03307142639107977,0.02045651885879692,0.20200386529448053,0.0009156179572988846,0.014923074243669428,0.06758869233314145,0.6234209732581502,0.6234209732581502,0.0001
1,0.0009212075543755507,3.710968194459589e-14,0.0446434783577091,0.014229349771136547,0.008617389513238762,0.030394967455867113,0.035176165639481866,0.021635246936993528,0.21255605321367435,0.0009824889168115318,0.015872831453028414,0.07153151036135995,0.6234209732581502,0.6234209732581502,0.00010722672220103231
2,0.0009752689010018165,3.392790569954426e-14,0.04726721815047262,0.015131788300045568,0.009177142357137515,0.03207723673078753,0.03740160714847841,0.022867416038732838,0.22345006603412343,0.0010542482830763111,0.016877355033790255,0.0756584560218273,0.6232113735935095,0.6232113735935095,0.00011497569953977356
3,0.00103196537589259,2.8468869646750755e-14,0.050017016080112366,0.016086238716424214,0.00977065631683125,0.033828495478958706,0.03975358961549234,0.024154227350469973,0.2346768986176701,0.0011312482672180663,0.017939377983021376,0.07997420775844294,0.623001773928869,0.623001773928869,0.0001232846739442066
4,0.0010913898540180266,2.2782278522788887e-14,0.052896668699126785,0.017095348686667528,0.010399786653750737,0.035649640530715246,0.04223820542137351,0.02549684636627245,0.2462256645066415,0.0012138651581529152,0.01906175834329666,0.08448332339190052,0.6227921742642285,0.6227921742642285,0.00013219411484660288
5,0.0011536392978535983,1.7307905155807623e-14,0.05590998165958096,0.01816191595544853,0.011066499636611517,0.037541499773904245,0.04486182214369212,0.026896407574573105,0.25808360898773275,0.0013025031759873744,0.02024750499808319,0.08919023693098203,0.6227895300296031,0.6227895300296031,0.00014174741629268049
6,0.0012188155174996057,7.939840723807869e-15,0.05906076788182934,0.019288912169489077,0.011772892152588985,0.03950483408890468,0.04763108393170143,0.028354019625839562,0.27023613916878925,0.0013975977463020245,0.021499801546025467,0.09409928479888964,0.6229964854596182,0.6229964854596182,0.0001519911082952933
7,0.001287025371640708,-1.1934059203749532e-14,0.06235285620699297,0.020479486842283342,0.012521192598547486,0.04154034334955368,0.05055290650441385,0.02987077067106212,0.28266687661688383,0.0014996150807935554,0.02282201003086019,0.09921474104133737,0.6229964854596182,0.6229964854596182,0.00016297508346206434
8,0.0013583790598184656,-3.94643127635188e-14,0.06579006708073329,0.02173692039001406,0.013313714373046499,0.0436486683965098,0.05363442273905697,0.0314477213749457,0.29535776190912566,0.0016090424612964563,0.0242176224195228,0.10454081423859748,0.6229964854596182,0.6229964854596182,0.0001747528400007683
9,0.0014329705518625934,1.2978337558711306e-14,0.06937555736659959,0.023064113614354537,0.014152459083106467,0.045830166679970925,0.056882010423074725,0.03308566427679186,0.30828948608808593,0.001726311174253317,0.02568971603760948,0.11008088968181313,0.6229964854596182,0.6229964854596182,0.0001873817422860383
10,0.001510963370506213,-1.3393723065362615e-15,0.07311439248606084,0.024465566129014356,0.015040706436015839,0.048085889541356654,0.0603050957505237,0.034786038737290484,0.32144034675709954,0.0018521206854173534,0.0272430318383558,0.11584009038923682,0.6234156847888993,0.6234156847888993,0.00020092330025650479
11,0.0015924759058258448,-1.3307405136693391e-14,0.07701008941554158,0.025944821048377798,0.015980929306740173,0.05041629663524521,0.06391111674608092,0.03654974801661569,0.33478799599634634,0.0019870066873149007,0.028881295222852207,0.1218220294680031,0.6234156847888993,0.6234156847888993,0.00021544346900318845
12,0.0016776931980541712,-9.551252432375797e-14,0.08106825059386517,0.027507507924157678,0.01697711017052294,0.05282262295795513,0.0677110449890369,0.038378555269396,0.3483079085687304,0.0021317813598625726,0.030610444249782338,0.1280327536662157,0.6234156847888993,0.6234156847888993,0.00023101297000831605
13,0.0017666597399630117,1.8561825040483904e-16,0.08528907427557005,0.02915425892853167,0.018029647151072834,0.055304240683344594,0.07170753752120443,0.040271873778519346,0.36197743615242395,0.002286651656934796,0.03243100829640432,0.13447067041763477,0.6234156847888993,0.6234156847888993,0.0002477076355991711
14,0.0018596222375319726,4.1380435991673535e-14,0.08967923590048828,0.030892238411663824,0.019143748912829293,0.057862783802071584,0.07591371138243706,0.042231918741618864,0.37576936959499807,0.00245268152530629,0.03435049421213027,0.1411432716071872,0.6236252844535398,0.6236252844535398,0.00026560877829466864
15,0.001956753323859658,6.44681053414519e-14,0.09424285771169909,0.032726188007564376,0.020322750475914333,0.060499129816113745,0.08033894326402866,0.04425982011757407,0.389657459075469,0.002630606209217921,0.03637379458044445,0.14805417850832076,0.6236252844535398,0.6236252844535398,0.0002848035868435802
16,0.0020582403566532567,8.772352436370502e-14,0.09898402973060533,0.03466119271263808,0.02157025371309302,0.06321422715319361,0.08499289812914945,0.046356741555413576,0.403614957840206,0.0028212192883349534,0.0385061284766178,0.1552069225839646,0.6236252844535398,0.6236252844535398,0.0003053855508833416
17,0.002164286718758573,1.1759634443818108e-13,0.10390683009140177,0.03670269779375621,0.022890129125088997,0.06600914116746587,0.08988560704228261,0.048523896969564814,0.41761479454985134,0.003025374176984035,0.040753056808207885,0.16260491362918755,0.6236252844535398,0.6236252844535398,0.00032745491628777284
18,0.0022750800521488717,1.1391649577432448e-12,0.10901568455329688,0.03885469221689296,0.02428468139234045,0.06888586109202385,0.09502824728868704,0.0507625633773261,0.4316304655400199,0.003243696547255918,0.04311863418188552,0.17025137476560676,0.623633217157416,0.623633217157416,0.0003511191734215131
